category	n_clusters	n_ft	n_bs	max_ft	max_bs	min_ft	min_bs
PF01915	1	2	0	2	0	2	0
PF01926	1	2	0	2	0	2	0
PF02115	2	4	0	2	0	2	0
PF02136	1	2	0	2	0	2	0
PF02183	2	4	1	2	1	2	0
PF02212	3	6	3	2	2	2	0
PF02362	1	2	3	2	3	2	3
PF02458	1	2	0	2	0	2	0
PF02469	2	4	0	2	0	2	0
PF02485	2	4	3	2	3	2	0
PF02496	6	22	13	7	9	2	0
PF02507	1	2	1	2	1	2	1
PF02519	3	6	0	2	0	2	0
PF02668	1	2	0	2	0	2	0
PF02701	4	8	0	2	0	2	0
PF02777	1	2	1	2	1	2	1
PF02797	1	2	2	2	2	2	2
PF02798	7	15	1	3	1	2	0
PF02799	1	2	0	2	0	2	0
PF02874	1	2	0	2	0	2	0
PF02984	1	2	2	2	2	2	2
PF02992	8	16	14	2	4	2	0
PF03007	1	2	4	2	4	2	4
PF03016	3	6	2	2	1	2	0
PF03018	2	11	5	9	5	2	0
PF03055	1	3	1	3	1	3	1
PF03080	1	2	0	2	0	2	0
PF03083	1	2	0	2	0	2	0
PF03105	3	6	6	2	6	2	0
PF03110	3	6	1	2	1	2	0
PF03124	1	2	0	2	0	2	0
PF03134	1	2	4	2	4	2	4
PF03140	4	16	4	7	2	2	0
PF03143	1	2	1	2	1	2	1
PF03144	2	4	3	2	2	2	1
PF03168	2	4	0	2	0	2	0
PF03169	2	4	0	2	0	2	0
PF03171	7	15	9	3	3	2	0
PF03184	2	4	6	2	3	2	3
PF03188	1	2	0	2	0	2	0
PF03222	1	2	1	2	1	2	1
PF03254	3	6	3	2	3	2	0
PF03297	1	3	0	3	0	3	0
PF03330	5	15	3	4	2	2	0
PF03358	1	2	0	2	0	2	0
PF03407	3	6	3	2	2	2	0
PF03473	1	2	0	2	0	2	0
PF03476	1	2	0	2	0	2	0
PF03492	2	6	0	4	0	2	0
PF03514	1	2	0	2	0	2	0
PF03600	1	2	0	2	0	2	0
PF03652	1	2	1	2	1	2	1
PF03720	1	2	0	2	0	2	0
PF03721	1	2	0	2	0	2	0
